"congress","issue","decision"
"118","Alliance and Collective Security","dom"
"118","Armed Forces","dom"
"118","Armed Forces","dom"
"118","Art, Culture, Religion","dom"
"118","Art, Culture, Religion","dom"
"118","Civil Rights and Liberties, Minority Issues","prof"
"118","Civil Rights and Liberties, Minority Issues","prof"
"118","Commerce","dom"
"118","Commerce","dom"
"118","Congressional political operations","dom"
"118","Congressional political operations","dom"
"118","Crime and Law Enforcement","prof"
"118","Crime and Law Enforcement","prof"
"118","Economics and Public Finance","dom"
"118","Economics and Public Finance","dom"
"118","Education","prof"
"118","Education","prof"
"118","Emergency Management","dom"
"118","Emergency Management","dom"
"118","Energy","dom"
"118","Energy","dom"
"118","Environmental Protection","dom"
"118","Environmental Protection","dom"
"118","Finance and Financial Sector","dom"
"118","Finance and Financial Sector","dom"
"118","Foreign Affairs","prof"
"118","Foreign Affairs","prof"
"118","Government Operations and Politics","dom"
"118","Government Operations and Politics","dom"
"118","Health","prof"
"118","Health","prof"
"118","Housing and Community Development","dom"
"118","Housing and Community Development","dom"
"118","Human Rights","dom"
"118","Human Rights","dom"
"118","Immigration","dom"
"118","Immigration","dom"
"118","International Finance","dom"
"118","International Finance","dom"
"118","International Trade","dom"
"118","International Trade","dom"
"118","Labor and Employment","dom"
"118","Labor and Employment","dom"
"118","Law","prof"
"118","Law","prof"
"118","National Security","dom"
"118","National Security","dom"
"118","Public Lands and Natural Resources","prof"
"118","Public Lands and Natural Resources","prof"
"118","Science, Technology, Communications","intl"
"118","Science, Technology, Communications","intl"
"118","Social Science and History","dom"
"118","Social Science and History","dom"
"118","Social Welfare","dom"
"118","Social Welfare","dom"
"118","Taxation","dom"
"118","Taxation","dom"
"118","Transportation and Public Works","dom"
"118","Transportation and Public Works","dom"
"118","Water Resources Development","dom"
"118","Water Resources Development","dom"
