"congress","issue","news_count","prev_news","yoy_change","mom_change","weighted_yoy","z_weighted_yoy","z_news","growth_momentum"
117,"Crime and Law Enforcement",18,35,-48.5714285714286,-0.485714285714286,-8.35042314517825,-0.280708953286304,-0.403297003905214,-0.317485368471977
118,"Crime and Law Enforcement",26,18,44.4444444444444,0.444444444444444,9.18323101317343,-0.149518560931501,-0.342907478580866,-0.207535236226311
115,"Economics and Public Finance",12,NA,NA,NA,NA,NA,-0.448589147898476,NA
116,"Economics and Public Finance",15,12,25,0.25,3.92353012858965,-0.188872720451568,-0.425943075901845,-0.259993827086651
117,"Economics and Public Finance",5,15,-66.6666666666667,-0.666666666666667,-6.04066980243958,-0.263426905600176,-0.501429982557281,-0.334827828687307
118,"Economics and Public Finance",10,5,100,1,12.8141957406415,-0.122350939001643,-0.463686529229563,-0.224751616070019
115,"Education",7,NA,NA,NA,NA,NA,-0.486332601226193,NA
116,"Education",6,7,-14.2857142857143,-0.142857142857143,-1.41797619138704,-0.228838964997894,-0.493881291891737,-0.308351663066047
117,"Education",10,6,66.6666666666667,0.666666666666667,8.54279716042766,-0.154310418216937,-0.463686529229563,-0.247123251520725
118,"Education",22,10,120,1.2,22.8078285756223,-0.0475765308360478,-0.37310224124304,-0.145234243958145
115,"Emergency Management",9,NA,NA,NA,NA,NA,-0.471235219895106,NA
116,"Emergency Management",6,9,-33.3333333333333,-0.333333333333333,-3.30861111323643,-0.242985082798385,-0.493881291891737,-0.318253945526391
117,"Emergency Management",3,6,-50,-0.5,-3.50931203171798,-0.244486768186027,-0.516527363888368,-0.326098946896729
118,"Emergency Management",1,3,-66.6666666666667,-0.666666666666667,-2.70146966157703,-0.238442326078154,-0.531624745219455,-0.326397051820544
115,"Energy",65,NA,NA,NA,NA,NA,-0.0485085426246669,NA
116,"Energy",148,65,127.692307692308,1.27692307692308,62.9487263093901,0.252765889266874,0.578032782615449,0.350345957271446
117,"Energy",12,148,-91.8918918918919,-0.918918918918919,-12.8990928733418,-0.314743032032287,-0.448589147898476,-0.354896866792144
118,"Energy",126,12,950,9.5,432.115884839975,3.01495019692679,0.41196158797349,2.2340536142408
115,"Environmental Protection",34,NA,NA,NA,NA,NA,-0.282517953256517,NA
116,"Environmental Protection",65,34,91.1764705882353,0.911764705882353,29.7872773251233,0.00464513451664343,-0.0485085426246669,-0.0113009686257497
117,"Environmental Protection",6,65,-90.7692307692308,-0.907692307692308,-9.00960256988998,-0.285641068781405,-0.493881291891737,-0.348113135714504
118,"Environmental Protection",1,6,-83.3333333333333,-0.833333333333333,-3.37683707697128,-0.243495563435811,-0.531624745219455,-0.329934317970904
115,"Finance and Financial Sector",12,NA,NA,NA,NA,NA,-0.448589147898476,NA
116,"Finance and Financial Sector",13,12,8.33333333333333,0.0833333333333333,1.21753592299079,-0.209119523447465,-0.441040457232932,-0.278695803583105
117,"Finance and Financial Sector",10,13,-23.0769230769231,-0.230769230769231,-2.95712209399419,-0.240355169950422,-0.463686529229563,-0.307354577734164
118,"Finance and Financial Sector",12,10,20,0.2,2.80744962537439,-0.197223463416725,-0.448589147898476,-0.27263316876125
115,"Foreign Affairs",609,NA,NA,NA,NA,NA,4.05797917943103,NA
116,"Foreign Affairs",468,609,-23.1527093596059,-0.231527093596059,-20.2962638591174,-0.370090180731307,2.99361379558939,0.639021012164902
117,"Foreign Affairs",387,468,-17.3076923076923,-0.173076923076923,-13.7970424972665,-0.321461675072331,2.38216985168036,0.489627782953476
118,"Foreign Affairs",434,387,12.1447028423773,0.121447028423773,10.2523426210222,-0.141519248863518,2.73695831296091,0.72202401968381
115,"Government Operations and Politics",74,NA,NA,NA,NA,NA,0.0194296733652251,NA
116,"Government Operations and Politics",152,74,105.405405405405,1.05405405405405,52.6594150545754,0.17577915459144,0.608227545277623,0.305513671797295
117,"Government Operations and Politics",77,152,-49.3421052631579,-0.493421052631579,-17.5450411731602,-0.349504968979868,0.0420757453618558,-0.232030754677351
118,"Government Operations and Politics",53,77,-31.1688311688312,-0.311688311688312,-9.19495916828799,-0.287027944822746,-0.13909283061119,-0.242647410559279
115,"Health",32,NA,NA,NA,NA,NA,-0.297615334587604,NA
116,"Health",437,32,1265.625,12.65625,1072.10449545933,7.80347608956089,2.75960438495754,6.29031457817988
117,"Health",23,437,-94.7368421052632,-0.947368421052632,-18.4108642516384,-0.35598323462544,-0.365553550577496,-0.358854329411057
118,"Health",18,23,-21.7391304347826,-0.217391304347826,-3.73740166344295,-0.246193381537004,-0.403297003905214,-0.293324468247467
115,"Housing and Community Development",35,NA,NA,NA,NA,NA,-0.274969262590974,NA
116,"Housing and Community Development",2,35,-94.2857142857143,-0.942857142857143,-5.40321497629181,-0.258657338002029,-0.524076054553911,-0.338282952967594
118,"Housing and Community Development",1,2,-50,-0.5,-2.02610224618277,-0.233389088720497,-0.531624745219455,-0.322859785670184
115,"Human Rights",49,NA,NA,NA,NA,NA,-0.169287593273364,NA
116,"Human Rights",201,49,310.204081632653,3.10204081632653,178.211977912677,1.11518915057678,0.978113387889257,1.07406642177052
117,"Human Rights",63,201,-68.6567164179104,-0.686567164179104,-22.0823178817337,-0.383453802819307,-0.063605923955754,-0.287499439160241
118,"Human Rights",73,63,15.8730158730159,0.158730158730159,5.49556354913709,-0.177110444352478,0.0118809826996816,-0.12041301623683
115,"Immigration",91,NA,NA,NA,NA,NA,0.147757414679466,NA
116,"Immigration",20,91,-78.021978021978,-0.78021978021978,-14.139150196919,-0.324021394965268,-0.388199622574127,-0.343274863247926
117,"Immigration",20,20,0,0,0,-0.218229376647526,-0.388199622574127,-0.269220450425506
118,"Immigration",12,20,-40,-0.4,-5.61489925074877,-0.260241203109128,-0.448589147898476,-0.316745586545932
115,"International Finance",22,NA,NA,NA,NA,NA,-0.37310224124304,NA
116,"International Finance",10,22,-54.5454545454545,-0.545454545454545,-6.98956131307718,-0.270526706272553,-0.463686529229563,-0.328474653159656
117,"International Finance",20,10,100,1,18.1220094073187,-0.0826367897895753,-0.388199622574127,-0.174305639624941
118,"International Finance",20,20,0,0,0,-0.218229376647526,-0.388199622574127,-0.269220450425506
115,"International Trade",80,NA,NA,NA,NA,NA,0.0647218173584865,NA
116,"International Trade",150,80,87.5,0.875,43.4255208612282,0.106689266582503,0.593130163946536,0.252621535791713
117,"International Trade",122,150,-18.6666666666667,-0.186666666666667,-8.35483815294715,-0.280741987278888,0.381766825311316,-0.0819893435018271
118,"International Trade",176,122,44.2622950819672,0.442622950819672,23.7947757786337,-0.0401919896772462,0.789396121250668,0.208684443601128
115,"Labor and Employment",4,NA,NA,NA,NA,NA,-0.508978673222824,NA
116,"Labor and Employment",5,4,25,0.25,2.26525117591484,-0.201280303290282,-0.501429982557281,-0.291325207070382
117,"Labor and Employment",1,5,-80,-0.8,-3.24176359389243,-0.24248491596428,-0.531624745219455,-0.329226864740832
118,"Labor and Employment",5,1,400,4,36.2440188146375,0.0529557970683754,-0.501429982557281,-0.113359936819321
115,"Law",2,NA,NA,NA,NA,NA,-0.524076054553911,NA
115,"National Security",596,NA,NA,NA,NA,NA,3.95984620077896,NA
116,"National Security",462,596,-22.4832214765101,-0.224832214765101,-19.5826237676721,-0.3647505793709,2.94832165159613,0.629171089919208
117,"National Security",86,462,-81.3852813852814,-0.813852813852814,-30.5834481526025,-0.447061001046343,0.110013961351748,-0.279938512326916
118,"National Security",181,86,110.46511627907,1.1046511627907,60.2220860605136,0.232364608345627,0.827139574578386,0.410797098215455
115,"Public Lands and Natural Resources",134,NA,NA,NA,NA,NA,0.472351113297839,NA
116,"Public Lands and Natural Resources",47,134,-64.9253731343284,-0.649253731343284,-18.0366026132618,-0.353182932375919,-0.184384974604451,-0.302543545044478
117,"Public Lands and Natural Resources",2,47,-95.7446808510638,-0.957446808510638,-5.48682371867157,-0.25928291574059,-0.524076054553911,-0.338720857384587
118,"Public Lands and Natural Resources",7,2,250,2.5,26.8028133709449,-0.0176852361854008,-0.486332601226193,-0.158279445697639
115,"Science, Technology, Communications",4,NA,NA,NA,NA,NA,-0.508978673222824,NA
116,"Science, Technology, Communications",9,4,125,1.25,15.1957668463708,-0.104531536100243,-0.471235219895106,-0.214542641238702
117,"Science, Technology, Communications",8,9,-11.1111111111111,-0.111111111111111,-1.27348501124723,-0.227757852387645,-0.47878391056065,-0.303065669839546
118,"Science, Technology, Communications",10,8,25,0.25,3.20354893516037,-0.194259767236055,-0.463686529229563,-0.275087795834107
115,"Social Welfare",6,NA,NA,NA,NA,NA,-0.493881291891737,NA
115,"Taxation",9,NA,NA,NA,NA,NA,-0.471235219895106,NA
118,"Taxation",3,9,-66.6666666666667,-0.666666666666667,-4.67908270895731,-0.253239232032194,-0.516527363888368,-0.332225671589046
115,"Transportation and Public Works",7,NA,NA,NA,NA,NA,-0.486332601226193,NA
116,"Transportation and Public Works",2,7,-71.4285714285714,-0.714285714285714,-4.09334467900895,-0.248856620097907,-0.524076054553911,-0.331422450434708
117,"Transportation and Public Works",3,2,50,0.5,3.50931203171798,-0.191971985109025,-0.516527363888368,-0.289338598742828
118,"Transportation and Public Works",21,3,600,6,111.417202906231,0.615416960409987,-0.380650931908584,0.316596592714415
115,"Water Resources Development",1,NA,NA,NA,NA,NA,-0.531624745219455,NA
116,"Water Resources Development",1,1,0,0,0,-0.218229376647526,-0.531624745219455,-0.312247987219105
117,NA,1,NA,NA,NA,NA,NA,-0.531624745219455,NA
118,NA,20,1,1900,19,344.318178739056,2.35802977365354,-0.388199622574127,1.53416095478524
